Month,Member(Electric),Member(Docked),Member(Classic),Casual(Electric),Casual(Docked),Casual(Classic),Total Members,Total Casuals
January,37157,0,48093,10585,961,6974,85250,17559
February,42886,0,51307,8107,1361,11948,94193,20055
March,95108,0,99052,46137,8358,35387,194160,81524
April,125663,0,119169,66758,12116,47543,244832,114301
May,156472,0,197971,127931,26409,126075,354443,254006
June,163489,0,236664,168415,30640,169996,400153,338411
July,200355,0,217078,218905,31055,156095,417433,375000
August,211593,0,215415,203966,26323,128635,427008,332601
September,203875,0,200767,171496,19826,105375,404642,276871
October,197704,0,151992,134807,12614,61568,349696,196375
November,125414,0,111549,61834,5886,33052,236963,94886
December,76214,0,60698,30317,1925,12652,136912,42969