Group,Month,Trips
Member(Electric),1,37157
Member(Electric),2,42886
Member(Electric),3,95108
Member(Electric),4,125663
Member(Electric),5,156472
Member(Electric),6,163489
Member(Electric),7,200355
Member(Electric),8,211593
Member(Electric),9,203875
Member(Electric),10,197704
Member(Electric),11,125414
Member(Electric),12,76214
Member(Docked),1,0
Member(Docked),2,0
Member(Docked),3,0
Member(Docked),4,0
Member(Docked),5,0
Member(Docked),6,0
Member(Docked),7,0
Member(Docked),8,0
Member(Docked),9,0
Member(Docked),10,0
Member(Docked),11,0
Member(Docked),12,0
Member(Classic),1,48093
Member(Classic),2,51307
Member(Classic),3,99052
Member(Classic),4,119169
Member(Classic),5,197971
Member(Classic),6,236664
Member(Classic),7,217078
Member(Classic),8,215415
Member(Classic),9,200767
Member(Classic),10,151992
Member(Classic),11,111549
Member(Classic),12,60698
Casual(Electric),1,10585
Casual(Electric),2,8107
Casual(Electric),3,46137
Casual(Electric),4,66758
Casual(Electric),5,127931
Casual(Electric),6,168415
Casual(Electric),7,218905
Casual(Electric),8,203966
Casual(Electric),9,171496
Casual(Electric),10,134807
Casual(Electric),11,61834
Casual(Electric),12,30317
Casual(Docked),1,961
Casual(Docked),2,1361
Casual(Docked),3,8358
Casual(Docked),4,12116
Casual(Docked),5,26409
Casual(Docked),6,30640
Casual(Docked),7,31055
Casual(Docked),8,26323
Casual(Docked),9,19826
Casual(Docked),10,12614
Casual(Docked),11,5886
Casual(Docked),12,1925
Casual(Classic),1,6974
Casual(Classic),2,11948
Casual(Classic),3,35387
Casual(Classic),4,47543
Casual(Classic),5,126075
Casual(Classic),6,169996
Casual(Classic),7,156095
Casual(Classic),8,128635
Casual(Classic),9,105375
Casual(Classic),10,61568
Casual(Classic),11,33052
Casual(Classic),12,12652